"activityId" "subjectId" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "activityType"
1 7 0.30164847 -0.026883636 -0.095795795 -0.38012427 -0.19132923 0.34055774 0.90205736 -0.13661061 -0.34282543 -0.95301111 -0.93681385 -0.92107189 0.15053073 -0.23907007 -0.15330489 -0.47203045 -0.16066926 -0.063309675 0.21389026 -0.04901106 -0.24526685 -0.51187681 -0.25407974 -0.40410261 -0.063415194 0.031583496 -0.011197953 -0.22776219 -0.29332465 -0.56075067 -0.09188078 -0.21935619 -0.09188078 -0.21935619 -0.22127046 -0.087904172 -0.23188636 -0.35877676 -0.35258183 -0.25985699 -0.42618282 -0.097240111 0.18459649 -0.36276206 -0.29829356 0.31939488 -0.47366897 0.26477089 0.10474594 -0.48964374 -0.18898343 0.014696508 -0.50041391 -0.18651081 -0.13805239 -0.32547002 -0.26335525 -0.25797487 -0.3211774 -0.20091491 -0.44845321 -0.57372347 -0.29422955 -0.44461316 0.044022789 0.10496812 -0.20984333 -0.22416098 -0.33775998 0.19933442 -0.10808845 -0.06845567 0.035432399 -0.35559498 -0.4737873 0.18830201 -0.29350547 -0.26878596 -0.11230423 "WALKING"
1 5 0.25894125 0.0001826645 -0.073804077 -0.18989176 0.14986385 -0.35495936 0.96548818 -0.15234966 0.028490065 -0.98039978 -0.98429719 -0.98915555 0.42815117 -0.39182634 -0.19531236 -0.25197076 0.021339796 -0.4727366 -0.092539214 -0.10828777 0.10306256 -0.37779381 -0.41674236 -0.3174637 0.19828996 -0.073579243 -0.015389489 -0.37372805 -0.47322251 -0.10515198 -0.054798656 -0.31499975 -0.054798656 -0.31499975 -0.18384659 -0.22703164 -0.2587544 -0.4432665 -0.38479834 -0.43541321 -0.15437805 0.12534337 -0.34609108 -0.20424535 0.090176055 -0.41284025 -0.24864682 0.11994075 0.16252497 -0.30121174 -0.078638124 -0.43388144 -0.26637628 0.063122594 -0.50887812 -0.50567086 -0.52944733 -0.28013758 -0.1630875 -0.42524882 -0.16577585 -0.44653227 -0.41563476 -0.43775296 0.076774269 -0.018976984 0.2406546 -0.24275256 -0.46561936 0.23419755 -0.20979082 -0.25428493 0.019401761 -0.44250188 -0.54142266 0.4122666 -0.47317548 -0.427072 0.23776896 "WALKING"
1 6 0.34524625 -0.032238573 -0.1064174 -0.21091266 0.26712693 -0.3551675 0.95249913 -0.23364025 0.053135411 -0.95833751 -0.97035144 -0.97676109 -0.048663294 -0.12665995 -0.019953412 0.017007842 0.15426372 -0.25309359 -0.042988113 0.013388428 0.083686706 -0.37528323 -0.24746289 -0.23511186 0.060450528 -0.31238378 -0.062327513 0.14184628 -0.17449625 0.14346257 -0.074014779 -0.143812 -0.074014779 -0.143812 -0.040635595 0.20340748 -0.21158166 -0.20479565 -0.12356243 0.031399574 -0.10749032 0.20699991 -0.3134179 -0.25555534 0.21820034 -0.43496522 -0.16032746 -0.057676711 0.6693788 -0.037370931 0.0080081251 -0.21732596 -0.015685096 0.23512264 -0.28530093 -0.068703974 -0.60159294 0.38844156 -0.050668126 -0.21375473 -0.03040915 -0.48600236 -0.27438252 -0.38574487 0.30728935 0.31456366 0.32211646 -0.044973054 -0.33777097 0.36068117 0.20986105 0.19660575 0.13059777 -0.10299443 -0.43644376 0.64764256 -0.0065349906 0.0082409615 0.20901173 "WALKING"
1 5 0.3017675 -0.033845506 -0.089249558 -0.20956784 0.019201874 -0.46317446 0.97005268 -0.12208035 0.026233297 -0.98488138 -0.96388238 -0.97651888 -0.31284251 -0.12178113 0.12958778 -0.27562802 -0.18107898 -0.56383662 -0.074660542 -0.038237506 0.064759037 -0.51702 -0.53133711 -0.39824631 -0.13268013 -0.11079698 0.065091077 -0.35330183 -0.56563779 -0.17468158 -0.11245866 -0.39369229 -0.11245866 -0.39369229 -0.2584068 -0.38368767 -0.4057437 -0.54257207 -0.44640992 -0.48808197 -0.22450025 -0.078212911 -0.44413082 -0.20365107 0.0039116167 -0.51878005 -0.13384351 -0.11859637 0.18919804 -0.31263374 -0.24474529 -0.52196196 -0.30072443 -0.16512909 -0.60375283 -0.29721955 -0.4719045 -0.20167267 -0.41270599 -0.54105038 -0.32185395 -0.55034565 -0.52869347 -0.48050635 -0.048840078 0.041076026 0.23902181 -0.31360539 -0.5380936 0.20330824 -0.3252423 -0.47134172 0.27661883 -0.48863743 -0.67146568 0.53258719 -0.50065939 -0.50551827 0.14457113 "WALKING"
1 14 0.35535615 -0.046905533 -0.082537321 -0.33454133 0.002548902 0.19336522 0.76951709 -0.28071312 -0.46488276 -0.98300229 -0.96561786 -0.9571899 0.25095254 -0.15555055 -0.62333519 -0.35541828 -0.27191445 -0.3602873 -0.050507978 -0.11871167 0.10821022 -0.59908232 0.027929792 -0.066341739 0.13291189 -0.075928865 0.19467284 -0.55832879 -0.49728028 -0.45945717 -0.065092257 -0.2378471 -0.065092257 -0.2378471 -0.28443749 -0.30494741 -0.11446063 -0.14833066 -0.47939332 -0.59083068 -0.34904937 -0.12740119 0.056350901 -0.3288017 0.0030946281 0.17380063 -0.29920698 -0.15548717 0.093042342 -0.38490511 -0.35025841 -0.29954009 -0.38135277 -0.23474704 -0.41886077 -0.020924571 -0.37796641 -0.44359191 -0.47118388 -0.16351564 -0.1269343 -0.63979942 0.12296668 -0.13258208 0.031924223 -0.47687054 -0.20747912 -0.22597642 -0.36276227 -0.072066275 -0.28055322 -0.34054555 0.15396728 -0.22497719 -0.24173486 -0.040999132 -0.5621401 -0.66131203 0.37956772 "WALKING"
1 11 0.19344778 -0.0070611286 -0.063787976 -0.41392112 -0.054941819 -0.54866871 0.95738011 -0.21191901 0.075830026 -0.98356643 -0.96178655 -0.95446268 0.074451551 0.088165633 0.13827282 -0.43471118 -0.20745581 -0.76062742 0.34682149 -0.2582258 0.10891234 -0.57941222 -0.50442868 -0.4696262 -0.16623009 -0.26920103 0.026736224 -0.54773287 -0.75467221 -0.57541769 -0.28168189 -0.50711138 -0.28168189 -0.50711138 -0.42428928 -0.41843413 -0.32667341 -0.49530796 -0.64685265 -0.7631814 -0.39627143 -0.085423469 -0.6481113 -0.42094493 -0.098474949 -0.53244691 -0.49715767 -0.11207589 0.12797516 -0.44633382 -0.26097853 -0.72499344 -0.47320625 -0.20094231 -0.79630695 -0.25119697 -0.48926931 -0.0021461141 -0.52689034 -0.57332831 -0.39626482 -0.59754938 -0.46962876 -0.5444767 -0.3172434 -0.19562456 -0.18510297 -0.47918201 -0.59964324 0.089735133 -0.43219277 -0.40469637 0.14447295 -0.58178978 -0.52484201 -0.32487876 -0.75941438 -0.78497391 0.077281116 "WALKING"
1 5 0.34335917 -0.0034264729 -0.10154465 -0.20115362 0.13315357 -0.31817123 0.9654573 -0.1450329 0.028511108 -0.9837114 -0.95313418 -0.98964698 -0.13513594 -0.06368648 -0.26307153 -0.19740252 -0.04461324 -0.44016334 -0.027673668 -0.12531555 0.12288572 -0.44776924 -0.39408311 -0.31121189 0.075567096 -0.056861953 0.14377131 -0.29987501 -0.45422585 -0.096723322 -0.060402377 -0.31844668 -0.060402377 -0.31844668 -0.17724473 -0.18946999 -0.2910629 -0.45700393 -0.34617 -0.43184842 -0.17987135 0.085165805 -0.29995122 -0.20964844 0.086587119 -0.38511847 -0.34790818 -0.15929023 0.20589573 -0.19960309 -0.13987541 -0.39925338 -0.26859251 -0.0037224094 -0.47827753 -0.23467665 -0.68091959 -0.2520134 -0.31107337 -0.41356345 -0.15702546 -0.49117943 -0.38659232 -0.43307416 0.0085048836 0.020092375 0.29220861 -0.19558602 -0.50512179 0.21043465 -0.16253574 -0.23087424 -0.0027259811 -0.41419687 -0.58924023 0.36761038 -0.50854872 -0.38196748 0.20010368 "WALKING"
1 21 0.26496066 -0.034719215 -0.088140263 -0.36815837 -0.074514248 -0.2296057 0.87051988 -0.36410302 -0.19277778 -0.98435845 -0.98053455 -0.97106847 0.34811403 -0.20607902 -0.13616151 -0.23572507 -0.1585435 -0.40753885 -0.056995867 -0.026578209 0.16466069 -0.45522179 -0.44145142 -0.37269433 0.040168037 -0.23584411 -0.23143783 -0.28046368 -0.49426673 -0.51412513 -0.21526595 -0.36537399 -0.21526595 -0.36537399 -0.21849174 -0.2269593 -0.34276894 -0.42321672 -0.45265349 -0.46180165 -0.31481601 -0.084097016 -0.29456322 -0.39036984 -0.12776848 -0.25431812 -0.0021048067 0.0082268553 0.092223439 -0.26215046 -0.2341806 -0.40647767 -0.27584072 -0.13116682 -0.40722338 -0.14284855 -0.34407491 -0.44520097 -0.30505469 -0.38314752 -0.35265931 -0.50286483 -0.48465346 -0.43665081 -0.024259744 0.26648384 -0.06045091 -0.29007306 -0.51054864 0.27202032 -0.22864436 -0.22583976 0.13828902 -0.43374277 -0.51619374 0.40827436 -0.48546841 -0.46865595 0.15501797 "WALKING"
1 22 0.35945128 -0.027556592 -0.13111055 -0.014287182 0.12054314 -0.24088325 0.92827274 -0.26955414 -0.049339387 -0.97284657 -0.9804346 -0.98088131 -0.030596846 0.1594912 0.12943209 0.048687578 0.21263248 -0.26944356 0.061642639 -0.085754887 0.077562916 -0.33181192 -0.45063226 -0.17469641 -0.0051636847 -0.11419053 -0.20837772 -0.23102558 -0.56025331 -0.15365118 0.061210029 -0.13857842 0.061210029 -0.13857842 0.023395353 0.15111676 -0.22326574 -0.36658467 -0.40135444 -0.46711634 -0.065785332 0.13394925 -0.22274567 0.0053111573 0.042222341 -0.31414246 -0.19668391 0.24767482 0.36601901 0.019973462 0.10472287 -0.23488716 -0.014752574 0.25080607 -0.30071749 -0.14217303 -0.12004469 -0.098013316 -0.19598688 -0.43335891 -0.019023403 -0.37543412 -0.46545431 -0.30818567 -0.084339857 -0.014330853 0.13637327 0.013906223 -0.3712817 0.43113702 0.11103131 0.1923374 0.18548157 -0.36140797 -0.48190274 0.30726659 -0.53441133 -0.42504043 0.28126411 "WALKING"
1 22 0.31812224 -0.030399242 -0.13141074 0.0061995835 -0.059950144 -0.31439359 0.95543262 -0.2243694 0.11425176 -0.92844863 -0.9505898 -0.94855786 -0.047486153 -0.063984706 0.13953408 -0.0069510686 0.0099517738 -0.41662308 0.011768434 -0.067821423 0.060455568 -0.25896647 -0.50755476 -0.13808303 -0.22989212 -0.023649097 -0.32312212 -0.16111906 -0.66989717 -0.16364951 0.031829147 -0.19208712 0.031829147 -0.19208712 -0.071021554 -0.041214574 -0.18278235 -0.39502829 -0.4538644 -0.44679292 -0.14344119 0.0036622426 -0.34075889 0.059438031 -0.1557823 -0.35403537 -0.27583884 0.28428859 0.41543231 -0.11975422 0.017980476 -0.36158108 0.020285529 -0.074248359 -0.46947787 -0.22513346 -0.0076962686 0.18011963 -0.061486839 -0.53174267 -0.023237562 -0.32164585 -0.49659622 -0.25805909 -0.10353947 -0.15216035 0.13252451 -0.069044745 -0.39648309 0.28610476 -0.087861209 0.011815647 0.13713957 -0.45633517 -0.45673128 0.28383798 -0.51296946 -0.4065971 0.42533479 "WALKING"
